,patientid,appointmentid,age,scholarship,hipertension,diabetes,alcoholism,handcap,sms_received,no_show
count,110526.0,110526.0,110526.0,110526.0,110526.0,110526.0,110526.0,110526.0,110526.0,110526.0
mean,147493384515987.12,5675304.221332537,37.089218826339504,0.09826647123753687,0.19724770642201836,0.07186544342507645,0.030400086857391023,0.02224815880426325,0.3210285362720084,0.20193438647919945
std,256094287454517.34,71295.44328449672,23.110025518540056,0.29767595399810565,0.39792270777101324,0.2582661513962289,0.17168630774333313,0.16154344274853508,0.4668738451626529,0.40144532397323435
min,39217.84439,5030230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,4172535777719.0,5640285.25,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,31731838713978.0,5680572.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,94389629939367.0,5725522.75,55.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
max,999981631772427.0,5790484.0,115.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0
