id_time,fecha,anio,mes,dia
20160429,2016-04-29,2016,4,29
20160509,2016-05-09,2016,5,9
20160503,2016-05-03,2016,5,3
20160510,2016-05-10,2016,5,10
20160502,2016-05-02,2016,5,2
20160531,2016-05-31,2016,5,31
20160520,2016-05-20,2016,5,20
20160506,2016-05-06,2016,5,6
20160525,2016-05-25,2016,5,25
20160517,2016-05-17,2016,5,17
20160504,2016-05-04,2016,5,4
20160518,2016-05-18,2016,5,18
20160524,2016-05-24,2016,5,24
20160505,2016-05-05,2016,5,5
20160513,2016-05-13,2016,5,13
20160519,2016-05-19,2016,5,19
20160512,2016-05-12,2016,5,12
20160514,2016-05-14,2016,5,14
20160516,2016-05-16,2016,5,16
20160511,2016-05-11,2016,5,11
20160530,2016-05-30,2016,5,30
20160601,2016-06-01,2016,6,1
20160607,2016-06-07,2016,6,7
20160603,2016-06-03,2016,6,3
20160606,2016-06-06,2016,6,6
20160608,2016-06-08,2016,6,8
20160602,2016-06-02,2016,6,2
