nombre_colegio,departamento,total_postulantes,total_ingresantes
COLEGIO SALESIANO,LIMA,1,0
FEDERICO KAUFFMAN DOIG,CALLAO,1,0
SAN VICENTE DE PAUL,JUNIN,1,0
I.E.P EL NAZARENO,LIMA,1,0
MANUEL GONZALES PRADA 7083 SAN BORJA,LIMA,1,1
THALES DE MILETO,LIMA,1,1
HEORES DEL CENEPA N°130,LIMA,1,0
I.E TÚPAC AMARU,LIMA,1,0
JUAN VELASCO ALVARADO,LIMA,1,0
I.E.I JAPÓN,HUANUCO,1,0
CASTILLO DEL REY,LIMA,1,0
GAUUS,CUSCO,1,0
SAÚL CANTORAL HUAMANÍ,LIMA,1,0
VÍCTOR MORON MUÑOZ,LIMA,1,0
NUESTRA SEÑORA DEL ROSARIO DEL RÍMAC,LIMA,1,1
IMAGINA SCHOOL,MOQUEGUA,1,1
156 EL PORVENIR,LIMA,1,0
I.E. 2003 LIBERTADOR JOSÉ DE SAN MARTÍN,LIMA,1,0
SEÑOR DE ANIMAS,LIMA,1,0
COLEGIO VANCOVER,AREQUIPA,1,0
PEDRO VILCAPAZA ALARCÓN,PUNO,1,0
ÁGORA,JUNIN,1,1
I.E.P. ALBERT EINSTEIN - HUARAZ,ANCASH,1,0
I.E. 3054 LA FLOR,LIMA,1,1
SOL NACIENTE - PACHACUTEC,CALLAO,1,0
DEUNI SOLEA,LIMA,1,1
MANUEL A. RAMIREZ BARINAGA,LIMA,1,0
COLEGIO ALBERT EINSTEIN HZ.,ANCASH,1,0
COLEGIO JUAN PABLO VIZCARDO Y GUZMAN,AREQUIPA,1,0
EMBLEMATICO MANUEL ANTONIO MESONES MURO,AMAZONAS,1,0
AMÉRICA,APURIMAC,1,0
ANTONIO RAYMONDI 5093,CALLAO,1,0
I.E. 5166 BELLA AURORA,LIMA,1,0
GRAN AMAITA MARIATEGUI,LIMA,1,1
NS SR DE FATIMA,TACNA,1,0
RENE DESCARTES,LIMA,1,1
IEP FRANCISCO BOLOGNESI,PASCO,1,0
REPÚBLICA DE NICARAGUA 6076,LIMA,1,0
PERUANO FRANCÉS EVARISTO GALOIS,LIMA,1,1
COLEGIO CRISTO REDENTOR SAN ISIDRO,LIMA,1,0
MANUEL GONZÁLEZ PRADA 7083,LIMA,1,0
NEWTON COLLEGE,CALLAO,1,0
COAR,AYACUCHO,1,0
I.E.NUESTRA SEÑORA DE MONSERRAT,LIMA,1,0
IE JOSE FAUSTINO SANCHEZ CARRION,LIMA,1,0
51,LIMA,1,0
I.E 3091 HUACA DE ORO,LIMA,1,0
I.E.P SANTA MARIA JOSEFA ROSELLO,LIMA,1,0
GRAN AMAUTA MARIATEGUI,LIMA,1,1
JOSE MARIA ARGUEDAS - CARABAYLLO,LIMA,1,0
FE Y ALEGRÍA 43 LASALLE,CALLAO,1,0
SAN PEDRO - SANTÍSIMA TRINIDAD,LIMA,1,1
COLEGIO SAN ANDRES,CAJAMARCA,1,0
1030 REPUBLICA DE BOLIVIA,LIMA,1,0
SANTA ELENA,LIMA,1,0
I.E.P TALENTUS SCHOOL,CALLAO,1,0
ARIEL,LIMA,1,0
COLEGIO PITAGORAS COMAS,LIMA,1,0
FE Y ALEGRIA 29,CALLAO,1,0
FE Y ALEGRIA N° 17,LIMA,1,0
CORAZÓN DE MARÍA,LIMA,1,0
I.E . TOMAS ALVA EDISON,LIMA,1,0
TECHNOLOGY SCHOOL DE PARAMONGA,LIMA,1,1
CRUZ SACO SEDE SAN ANTONIO,LIMA,1,0
LA PRADERAS II,LIMA,1,0
SANTIAGO ANTUEZ DE MAYOLO,LIMA,1,0
IE SOL NACIENTE - PACHACUTEC,CALLAO,1,0
